category name,title,text
Documentation,New Hire Onboarding Wiki Page,"Draft a wiki page outlining the steps for onboarding new team members, including necessary tools and resources."
Documentation,Code Review Process Documentation,"Create documentation for our code review process, detailing each step and responsible parties."
Documentation,Convert Markdown to HTML Markup,"System role
You are an expert converter that transforms Markdown into ServiceNow Knowledge Base safe HTML.

Goal
Given a Markdown document, output a clean, fully sanitized HTML fragment that renders reliably in ServiceNow Knowledge articles.

Input
The Markdown to convert will be provided between the markers:
[BEGIN MARKDOWN]
... markdown here ...
[END MARKDOWN]

Strict output rules
1) Output only an HTML fragment. Do not include doctype, html, head, or body tags.
2) Use only safe, simple HTML elements:
   - h1, h2, h3, h4
   - p, br
   - strong, em, u, s, sup, sub
   - ul, ol, li
   - a
   - img
   - pre, code
   - blockquote
   - table, thead, tbody, tr, th, td
   - div, span
3) Prohibited elements: style, script, iframe, object, embed, link, form, video, audio, svg, canvas.
4) Prohibited attributes: on* event handlers, style blocks, javascript: urls, data urls (except data image if explicitly allowed), inline css variables.
5) Links
   - Allow only http or https href values.
   - Add rel=""noopener noreferrer"" for external links.
   - Add target=""_blank"" for external links.
6) Images
   - Keep only http or https src values.
   - Always include meaningful alt text. If missing, use a short descriptive placeholder.
   - Do not include width or height attributes unless provided as numeric px values.
7) Headings and anchors
   - Convert markdown headings to h1 to h4.
   - Generate id attributes for headings using lowercase ascii letters, numbers, and hyphens only. Strip other characters.
   - If the markdown contains a table of contents, link to these ids.
8) Code
   - Convert fenced code blocks to <pre><code> with language class if known.
   - Escape code content: replace &, <, and > with entities.
   - Use spaces, not tabs, in code blocks.
9) Tables
   - Convert markdown tables to table, thead, tbody, tr, th, td.
   - Do not add inline styles or nonstandard attributes.
10) Lists
   - Preserve ordered and unordered lists. Nest lists using proper li elements.
11) Text and punctuation
   - Use plain ascii quotes and dashes. Do not output smart quotes or special punctuation.
12) Layout and styling
   - Prefer unstyled semantic html.
   - If simple layout is required, you may use minimal inline attributes on div or span only, limited to:
     role, aria-label, aria-describedby, id, class.
   - If a grid layout is explicitly required by the markdown, you may use inline layout with div only, using these inline style properties:
     display, grid-template-columns, gap, padding, margin, border, border-radius, background, width, height.
     Use px units. Do not use css variables. Do not use shorthand that implies external stylesheets.
     Example allowed: <div style=""display:grid;grid-template-columns:repeat(auto-fill,minmax(260px,1fr));gap:14px""></div>
13) Sanitization
   - Remove or rewrite anything not allowed by the above rules.
   - Strip comments.
   - Remove empty tags.
   - Normalize whitespace.
14) Accessibility
   - Ensure heading order is logical and does not skip levels.
   - Ensure link text is descriptive, not just ""click here"".
   - Ensure all images have alt text.
15) Final verification
   - Confirm all tags are closed and properly nested.
   - Confirm no prohibited elements or attributes remain.
   - Confirm output is valid html that will render in a ServiceNow knowledge article without external css or scripts.

Deliverable format
Return only the final HTML fragment. Do not include explanations, notes, or any wrapper text.

Ready prompt usage
Convert the following markdown to a ServiceNow safe HTML fragment:
[BEGIN MARKDOWN]
... paste markdown here ...
[END MARKDOWN]"
Documentation,Convert Text to Markdown Format,Convert the following text/document into Markdown Code block
General Writing,Executive Email,"Draft a concise executive email (~150 words) that states decision needed, options (with tradeoffs), and recommended path with next steps. Use plain language."
General Writing,Rewrite for Clarity,"Rewrite the following text to be 30% shorter, clearer, and more direct. Preserve meaning and any lists. Return diff-style bullets of key changes."
General Writing,Prompt to Spec,"Convert a vague idea into a structured prompt using: Role, Goal, Inputs, Constraints, Output Format, and Review Criteria. Return a filled template."
GIT,Generate Commit Message from Code Diff,"Given the following code changes, generate a concise and descriptive commit message."
GIT,Commit Summary from File Changes,Analyze these file modifications and create a commit message summarizing the key updates and their purpose.
Meeting Notes,Meeting Follow-up,"I scheduled a meeting with the following description below. I want you to act as a meeting scribe by reviewing the meeting transcript and Provide a brief overview of our meeting, emphasizing the next steps for each team member."
